review_count,average_stars,votes,years_yelped,num_friends,label
2,4.5,0,8,223,0
16,4.69,4,8,0,0
3,1.67,1,4,56,0
5,2.0,5,13,0,0
11,4.17,6,9,81,0
18,3.94,4,13,27,0
4,2.0,0,6,4,0
1,1.0,0,4,0,2
2,1.0,1,11,0,0
5,1.8,5,6,0,0
7,5.0,9,7,12,0
10,3.9,11,6,66,0
4,5.0,0,4,93,0
36,4.25,15,14,0,0
22,4.23,27,7,16,0
11,3.23,18,12,57,0
1,5.0,0,5,31,0
20,4.8100000000000005,6,9,1,0
75,3.95,18,3,119,0
15,3.83,11,8,215,0
1,5.0,0,3,0,1
2,5.0,1,11,0,0
5,5.0,9,8,163,0
4,3.5,10,12,0,0
5,4.2,8,8,0,0
1,5.0,0,10,2,0
311,4.34,2397,7,261,0
1,1.0,2,6,31,0
6,4.5,1,6,0,0
9,4.44,146,9,4,0
6,4.83,1,12,0,0
4,1.75,3,4,0,0
4,2.75,8,8,12,0
17,3.82,32,9,172,0
2,3.33,2,8,0,0
2,1.0,4,11,499,0
64,4.01,16,9,1,0
20,3.95,6,7,0,0
52,4.38,74,10,62,0
55,4.44,31,7,3,0
15,3.88,2,6,1,0
2,3.5,3,5,214,0
30,3.23,25,7,0,0
11,3.91,16,6,0,0
9,4.78,1,7,0,0
2,1.0,6,5,8,0
17,2.76,55,13,92,0
25,3.52,28,9,0,0
13,3.07,12,7,1,0
11,5.0,30,11,0,0
1,5.0,0,7,0,0
2,5.0,1,8,645,0
13,3.93,1,2,164,0
42,4.42,23,6,0,0
11,3.27,55,8,0,0
3,2.0,0,9,0,0
5,3.8,2,9,0,0
31,4.13,79,9,11,0
5,4.0,1,11,0,0
4,2.25,9,10,1,0
1,1.0,0,1,0,1
18,2.42,54,7,160,0
1,5.0,0,9,0,0
1,1.0,1,9,0,0
2,1.0,0,10,0,0
1,5.0,0,4,0,1
8,3.75,25,3,0,0
18,4.28,10,7,132,0
1,5.0,0,4,0,0
6,3.17,9,7,0,0
1,2.0,2,5,459,0
3,3.0,4,8,0,0
4,2.0,3,2,0,0
40,2.67,52,7,3,0
8,3.2,10,10,1,0
7,3.63,17,11,2,0
1,5.0,6,8,34,0
54,4.46,13,9,0,0
11,5.0,12,11,0,0
1,5.0,0,5,351,0
11,3.91,5,12,0,0
26,3.7,37,7,55,0
5,4.2,2,8,410,0
1,5.0,1,4,0,0
2,5.0,1,6,0,0
1,2.0,1,4,0,0
99,3.74,148,14,7,0
5,3.8,4,7,39,0
6,4.33,0,10,0,0
4,4.0,5,8,0,0
14,3.79,13,8,0,0
6,3.67,3,9,94,0
1,5.0,0,4,225,0
9,4.5600000000000005,4,7,133,0
1,1.0,0,6,0,0
2,1.0,0,1,0,0
2,1.0,2,4,0,0
18,4.45,9,8,0,0
1,5.0,1,12,0,0
5,3.29,15,12,5,0
9,4.9,7,4,0,0
2,5.0,7,8,0,0
3,3.67,4,5,0,0
12,4.42,28,7,3,0
3,1.75,0,9,0,0
2,5.0,0,8,414,0
18,4.33,21,8,164,0
9,3.23,34,10,0,0
7,3.0,10,5,210,0
2,5.0,0,7,0,0
7,5.0,1,10,25,0
9,2.33,4,8,31,0
8,3.67,2,11,96,0
10,3.2,11,11,12,0
40,4.3,113,9,56,0
184,3.84,629,13,231,0
3,2.67,0,6,67,0
1,1.0,0,4,0,1
48,3.55,59,11,2,0
5,5.0,4,7,47,0
12,4.67,12,7,983,0
2,3.0,0,5,0,0
1,1.0,3,9,0,0
7,4.38,0,7,2,0
1,1.0,1,3,32,0
1,5.0,0,4,104,0
3,5.0,2,2,0,0
1,5.0,0,4,0,2
8,4.22,1,10,21,0
14,4.71,16,11,192,0
42,4.49,18,12,0,0
42,3.18,92,6,11,0
465,3.49,900,9,145,0
4,3.5,9,9,56,0
1,5.0,1,6,30,0
21,4.35,18,12,11,0
9,2.89,22,12,140,0
6,5.0,1,6,68,0
4,5.0,2,2,413,0
22,3.08,20,8,2,0
8,5.0,2,4,35,0
107,4.95,163,10,30,0
6,4.14,6,8,2,0
1,1.0,0,8,0,0
1,5.0,0,10,0,1
1,3.0,0,7,0,0
21,4.26,58,12,160,0
669,4.19,6154,9,262,0
5,4.33,0,1,0,0
22,4.5,23,10,0,0
4,2.75,0,9,0,0
1,5.0,0,7,0,0
2,2.5,1,11,37,0
2,3.0,0,4,0,0
15,2.67,14,8,0,0
2,2.33,12,5,0,0
2,3.0,3,8,144,0
3,5.0,3,12,1,0
89,3.51,47,4,0,0
3,3.67,1,1,0,0
19,4.16,21,10,1,0
1,1.0,0,11,0,0
2,3.0,0,8,0,0
8,3.89,7,8,0,0
1,5.0,0,10,0,0
7,4.0,5,11,3,0
3,4.0,0,4,0,0
1,5.0,0,3,0,0
8,4.63,16,9,64,0
29,4.3,19,8,40,0
2,3.5,0,1,0,0
1,5.0,0,12,0,0
1,5.0,3,7,0,0
2,3.0,3,7,447,0
15,3.4,37,12,594,0
13,4.38,30,8,11,0
2,3.0,0,6,43,0
6,4.17,9,7,6,0
1,5.0,0,8,0,0
3,2.33,1,10,0,0
2,3.0,4,8,0,0
20,3.9,92,9,88,0
7,4.14,0,11,0,0
22,3.48,34,7,0,0
1,2.0,1,7,317,0
163,3.8,534,15,102,0
24,4.08,21,8,6,0
2,4.0,0,7,13,0
1,1.0,0,1,12,0
4,2.25,5,7,54,0
1,1.0,0,1,0,0
4,4.0,3,5,0,0
1,1.0,0,4,0,0
1,5.0,0,4,8,0
11,2.62,21,3,8,0
12,3.33,9,6,83,0
118,4.08,322,9,172,0
1,5.0,0,11,8,0
319,2.86,757,13,10,0
3,5.0,1,7,0,0
